//This file is automatically generated by extract_table.py
Bits, Type, Reset, Description
63:62, RO, 0h, Reserved
61, RO, Impl Spec, NVM Subsystem Shutdown Enhancements Supported (NSSES)
60:59, RO, Impl Spec, Controller Ready Modes Supported (CRMS)
58, RO, Impl Spec, NVM Subsystem Shutdown Supported (NSSS)
57, RO, Impl Spec, Controller Memory Buffer Supported (CMBS)
56, RO, Impl Spec, Persistent Memory Region Supported (PMRS)
55:52, RO, Impl Spec, Memory Page Size Maximum (MPSMAX)
51:48, RO, Impl Spec, Memory Page Size Minimum (MPSMIN)
47:46, RO, Impl Spec, Controller Power Scope (CPS)
45, RO, Impl Spec, Boot Partition Support (BPS)
44:37, RO, Impl Spec, Command Sets Supported (CSS)
36, RO, Impl Spec, NVM Subsystem Reset Supported (NSSRS)
35:32, RO, Impl Spec, Doorbell Stride (DSTRD)
31:24, RO, Impl Spec, Timeout (TO)
23:19, RO, 0h, Reserved
18:17, RO, Impl Spec, Arbitration Mechanism Supported (AMS)
16, RO, Impl Spec, Contiguous Queues Required (CQR)
15:00, RO, Impl Spec, Maximum Queue Entries Supported (MQES)
