//This file is automatically generated by extract_table.py
//Following contents are extracted from page 156
Bytes, Description
03:00, Command Dword 0 (CDW0)
07:04, Namespace Identifier (NSID)
11:08, Command Dword 2 (CDW2)
15:12, Command Dword 3 (CDW3)
23:16, Metadata Pointer (MPTR)
39:24, Data Pointer (DPTR)
43:40, Command Dword 10 (CDW10)
47:44, Command Dword 11 (CDW11)
51:48, Command Dword 12 (CDW12)
55:52, Command Dword 13 (CDW13)
59:56, Command Dword 14 (CDW14)
63:60, Command Dword 15 (CDW15)
