//This file is automatically generated by extract_table.py
//Following contents are extracted from page 321
Bytes, 1 I/O, 1 Admin, 1 Disc, Description
01:00, M, M, R, PCI Vendor ID (VID)
03:02, M, M, R, PCI Subsystem Vendor ID (SSVID)
23:04, M, M, 5 O, Serial Number (SN)
63:24, M, M, 5 O, Model Number (MN)
71:64, M, M, M, Firmware Revision (FR)
72, M, M, R, Recommended Arbitration Burst (RAB)
75:73, M, M, R, IEEE OUI Identifier (IEEE)
76, O, O, R, Controller Multi-Path I/O and Namespace Sharing Capabilities (CMIC)
77, M, M, M, Maximum Data Transfer Size (MDTS)
79:78, M, M, M, Controller ID (CNTLID)
83:80, M, M, M, Version (VER)
87:84, M, M, R, RTD3 Resume Latency (RTD3R)
91:88, M, M, R, RTD3 Entry Latency (RTD3E)
95:92, M, M, M, Optional Asynchronous Events Supported (OAES)
99:96, M, M, 4 O, Controller Attributes (CTRATT)
101:100, O, O, R, Read Recovery Levels Supported (RRLS)
102, M, R, R, Boot Partition Capabilities (BPCAP)
103, , , , Reserved
107:104, O, O, R, NVM Subsystem Shutdown Latency (NSSL)
109:108, , , , Reserved
110, O, O, R, Power Loss Signaling Information (PLSI)
111, M, M, M, Controller Type (CNTRLTYPE)
127:112, O, O, R, FRU Globally Unique Identifier (FGUID)
129:128, O, O, R, Command Retry Delay Time 1 (CRDT1)
131:130, O, O, R, Command Retry Delay Time 2 (CRDT2)
133:132, O, O, R, Command Retry Delay Time 3 (CRDT3)
134, O, R, R, Controller Reachability Capabilities (CRCAP)
239:135, , , , Reserved
252:240, , , , Reserved for the NVMe Management Interface.
253, M, M, M, NVM Subsystem Report (NVMSR)
254, M, M, M, VPD Write Cycle Information (VWCI)
255, M, M, M, Management Endpoint Capabilities (MEC)
257:256, M, M, R, Optional Admin Command Support (OACS)
258, M, M, R, Abort Command Limit (ACL)
259, M, M, 3 M, Asynchronous Event Request Limit (AERL)
260, M, M, R, Firmware Updates (FRMW)
261, M, M, M, Log Page Attributes (LPA)
262, M, M, M, Error Log Page Entries (ELPE)
263, M, M, R, Number of Power States Support (NPSS)
264, M, M, R, Admin Vendor Specific Command Configuration (AVSCC)
265, O, O, R, Autonomous Power State Transition Attributes (APSTA)
267:266, M, M, R, Warning Composite Temperature Threshold (WCTEMP)
269:268, M, M, R, Critical Composite Temperature Threshold (CCTEMP)
271:270, O, O, R, Maximum Time for Firmware Activation (MTFA)
275:272, O, O, R, Host Memory Buffer Preferred Size (HMPRE)
279:276, O, O, R, Host Memory Buffer Minimum Size (HMMIN)
295:280, O, O, R, Total NVM Capacity (TNVMCAP)
311:296, O, O, R, Unallocated NVM Capacity (UNVMCAP)
315:312, O, O, R, Replay Protected Memory Block Support (RPMBS)
317:316, O, O, R, Extended Device Self-test Time (EDSTT)
318, O, O, R, Device Self-test Options (DSTO)
319, M, M, R, Firmware Update Granularity (FWUG)
321:320, M, M, O, Keep Alive Support (KAS)
323:322, O, O, R, Host Controlled Thermal Management Attributes (HCTMA)
325:324, O, O, R, Minimum Thermal Management Temperature (MNTMT)
327:326, O, O, R, Maximum Thermal Management Temperature (MXTMT)
331:328, O, O, R, Sanitize Capabilities (SANICAP)
335:332, O, O, R, Host Memory Buffer Minimum Descriptor Entry Size (HMMINDS)
337:336, O, O, R, Host Memory Maximum Descriptors Entries (HMMAXD)
339:338, O, O, R, NVM Set Identifier Maximum (NSETIDMAX)
341:340, O, O, R, Endurance Group Identifier Maximum (ENDGIDMAX)
342, O, O, R, ANA Transition Time (ANATT)
343, O, O, R, Asymmetric Namespace Access Capabilities (ANACAP)
